age,monthly_spend,days_since_last_order,support_tickets,tenure_months,churn
60,168.70900749804545,21.08261660409526,0,21,0
56,156.77694706587943,9.113325295987083,1,62,0
70,180.86801810947836,18.311103255047858,1,65,0
60,134.35184335625019,12.255759188666289,0,9,0
38,156.21037605975818,7.093342271623182,2,42,0
73,107.71491707656858,17.41941105093081,3,10,0
41,95.94156753763977,5.879800131386196,1,21,0
36,188.27070561675893,89.7917983136002,2,81,0
69,128.64818705290753,4.919876731123534,3,68,0
39,152.19522263449517,26.86918965493436,1,59,0
22,124.94960057645561,56.70361305273498,1,26,0
44,96.53937396320143,42.207416424063986,2,75,0
63,120.43931570329605,15.206812704162575,1,108,0
28,177.43976071070858,39.19955481615015,2,102,0
44,142.20960297117696,15.32881441719825,3,21,0
25,51.54107361078164,12.15241476573792,3,82,0
57,111.3902217369538,10.27118863452708,2,30,0
45,191.29175170818849,5.069091774212634,0,103,0
36,111.44812552600176,22.61626709801887,1,57,0
30,47.98085233063277,28.235623457469565,3,89,0
50,195.72195541690175,18.14042089395646,0,65,0
56,147.29570039251172,8.082133679947132,2,81,0
71,117.19948564748799,7.447875366847371,1,112,0
42,105.14329055671726,0.37022462834493647,0,17,0
27,163.29407719166943,31.575738530204365,2,108,0
65,98.3206639909523,87.06396113756995,2,58,0
53,165.93025698063954,36.27382861224044,1,17,0
57,141.68781142897024,54.4041959091332,1,52,0
23,129.78727701949398,9.60836226923236,1,7,0
35,125.82059221342381,29.87946649947697,3,65,0
61,113.00127853143287,0.32358152467823814,2,57,0
65,161.82560480837063,24.388573134915863,3,47,0
42,85.38628671592663,91.71329289230377,2,53,0
63,55.122994926791634,14.502300832570322,2,74,0
65,144.577604915699,15.090096485903754,2,99,0
40,145.2495331226859,18.95983354536768,1,47,0
69,139.20964610047068,40.908066102740094,2,3,0
34,136.30913478472155,3.793369654467805,0,67,0
31,107.17838486649809,29.48568963990949,3,113,0
56,151.49930817542102,52.95022905588729,0,47,0
54,118.17767492981837,15.770904713810749,0,15,0
25,100.51545756739287,22.869032270500135,1,108,0
65,107.52434750978401,66.95243935420885,1,50,0
29,200.82558795103327,27.244858328160877,0,45,0
63,50.60095671818269,3.658299763275124,1,36,0
18,139.99152417183194,36.99570660396128,0,87,0
63,52.83558289505132,7.410814867699786,0,18,0
62,115.67066646708108,23.948221279389873,3,74,0
62,102.6549005938325,30.566994153733773,3,42,0
55,36.59886813280488,13.927636772614127,4,46,0
44,135.56150361735052,8.342720366729578,1,26,0
58,104.79847751231216,74.069596340581,0,97,0
33,36.03174629755024,31.36783622892931,1,54,0
62,153.5827236309701,21.687281837361134,1,111,0
49,177.4002471195574,12.266115439462663,1,99,0
44,179.60497369186288,66.8402262583412,2,91,0
46,134.35825762605884,25.657144498698894,2,54,0
50,121.84232554308463,99.46872527593143,2,113,0
20,173.12626483583188,16.806348164720117,2,70,0
25,187.29534341360392,51.934017694203575,2,52,0
31,165.342748115025,43.23579357059443,1,42,0
24,82.33849591080795,21.176293211019907,0,109,0
43,128.05379412859688,30.720915747102282,5,31,1
56,137.58064577165715,77.00300611744443,1,105,0
55,47.61532124331083,6.547697050805937,2,28,0
44,138.77442638483097,0.4591084142850394,1,91,0
66,210.91967303917556,17.301464633858433,3,34,0
50,145.59744663203165,4.928246326261922,2,100,0
22,178.93652325767025,6.5256193412372925,1,100,0
61,127.3165892051482,78.4979676190432,0,87,0
50,117.07126704064714,16.13711469783738,2,119,0
54,135.25085560323902,5.320287596021906,0,61,0
50,87.3669340806227,27.033459365155412,2,100,0
49,81.44899251062446,0.07174492875552604,2,66,0
23,170.65218228677463,8.7571970741752,1,5,0
49,174.89369371466074,15.430609754925431,1,50,1
63,80.35574737650597,31.625387503640297,0,4,0
35,158.71995218215457,66.24661206476233,0,80,0
52,116.52160097575916,0.6284821931083764,0,19,0
19,133.59234297961723,17.073615286210945,4,39,0
37,138.40874557740253,4.971866015171706,0,104,0
42,159.77401872497273,37.979802932899766,1,89,0
74,123.30872807452755,22.78626526735295,2,40,0
30,176.40647981207744,11.498796102597428,2,61,0
33,132.376513590397,5.132258683607523,0,70,0
41,144.9673708987813,31.366829807227507,2,43,0
74,86.66949633851014,14.369144644987067,1,90,0
66,206.34636042819335,40.731110990170116,1,18,0
19,138.79299692819865,23.709772913475582,0,51,0
31,148.51989701380398,12.345706049882702,2,31,0
64,55.672567551538336,60.20511532534309,0,81,0
21,87.09191907683595,31.070157367902866,0,77,0
66,169.51534751674922,41.02022082334462,2,97,0
34,131.4756447317042,22.183713922051233,1,45,0
70,43.448810606842954,27.402381325304514,1,28,1
34,161.53159715935277,26.568364964238853,3,4,0
42,98.24868782589107,15.925529042767309,3,103,0
55,176.4526794350685,10.67760269714916,1,40,0
25,116.48657285585202,62.459530815659214,0,90,0
49,128.1882674408212,11.670711117171727,0,44,0
46,167.15818314366595,3.829538923780724,1,40,0
62,84.1002811658135,15.48365469649611,1,28,0
74,80.28612768664242,30.1712454617016,0,93,0
55,112.1400631840757,50.88099791744541,1,35,0
41,153.08691198484888,23.981756574687424,2,36,0
41,66.76490989546038,41.63241388559114,2,84,0
41,53.27861600443613,64.52076756589169,0,62,0
64,152.9488370817517,49.97725925010431,1,89,0
36,95.88086749731985,11.74783761278323,2,13,0
27,104.31095948318868,54.82579989763005,1,115,0
37,45.727583922393364,52.474196624410354,0,29,0
19,92.84082742592071,9.145445809477904,1,15,0
24,119.69730813475397,7.6381670323385356,0,14,0
23,157.2151143049157,65.12486272931083,0,38,0
61,89.15079335061445,31.92793658110566,0,51,0
59,186.29504480929987,19.995297244751285,1,10,0
57,92.61775903280798,51.75764477554688,1,75,0
44,92.67632793659301,1.2617050036885091,1,73,0
58,181.4943020759121,3.660515956092604,3,93,0
27,128.4584060945567,47.49673779360325,2,2,0
69,97.91901083953694,30.11020334608304,1,12,0
46,113.79467475277626,1.241840582247428,1,25,0
71,174.12294310168238,1.7426396065033776,2,53,0
26,178.64811278502728,25.479566053423703,3,70,0
46,87.32827282918976,9.895290077916709,2,25,0
57,118.30264759683567,13.6097324649467,3,43,0
46,123.60627310670293,52.886961454719085,3,62,0
43,80.5503955793361,36.17964157045972,1,65,0
27,117.77259789400023,30.57199278086981,2,63,0
39,120.21291441806802,37.43259439734424,2,77,0
31,165.60837915746941,18.436736542056565,3,90,0
35,168.29700113244803,18.59413203987372,0,100,0
56,106.83162406563967,58.61943959058324,1,115,0
53,111.44187424556753,1.3197481272193363,0,47,0
52,146.5716920822254,33.653032567529046,0,40,0
38,96.59246204291954,4.788526158878023,2,34,0
72,143.5456060694961,32.06843256280121,3,42,1
22,116.48374050523141,2.470157828991596,1,65,0
37,81.22405689045517,140.22629341986635,1,72,0
24,81.72653148481413,49.646233087928195,1,9,1
37,177.8823478412441,4.583903731166682,1,119,0
72,113.74314083426806,25.567800530133404,2,5,0
38,185.61416375593245,117.3145130410445,2,48,0
69,99.45454957140359,12.11913230288892,1,54,0
46,131.64820804525974,35.666627768776095,0,42,0
57,215.70706892072965,132.4855379507999,2,26,0
44,77.70453021346883,36.87226441640908,2,64,0
33,44.08742000400893,8.904233947146178,2,1,0
61,171.46360525148933,41.00954444276211,4,89,0
73,86.92763578427706,29.101316471716324,1,81,0
33,119.17174543575065,3.715315794061424,0,92,0
62,96.5632715819366,11.138402255504221,3,98,0
32,130.72651123821265,2.3185385953499753,5,106,0
58,81.97855171257032,6.992770143553293,1,18,0
62,112.80239648466775,14.616138734513397,0,100,0
43,137.99261306226137,1.1795580746927492,1,68,0
60,79.66764454902952,25.63577300686151,1,15,0
33,91.99663881416444,7.518453398687246,5,118,0
22,106.10468665605873,24.626328971417937,0,97,0
23,62.84738263094887,35.47214221535697,1,32,1
43,103.09756068805015,23.36845740612817,0,106,0
69,124.75186159611607,26.090438906763524,1,87,0
25,104.01804233646286,5.918553516684395,1,54,0
43,109.14494028273101,126.48715018891602,1,20,0
58,119.20393316373658,11.182975050526021,1,88,0
29,93.77026150270744,9.014136845810025,2,111,0
59,147.64250263467508,67.8899343352136,0,23,0
35,177.43912499207102,40.591700602915026,0,1,0
64,101.42478431218206,4.6638145853147845,5,28,1
51,139.40792925910827,1.8075904190752796,0,36,0
49,110.41531378261412,11.544419830624724,1,46,0
28,134.6194938015402,115.44693903397197,1,117,0
44,182.6311812481302,46.94076743305529,1,115,0
66,140.34638172072394,21.222881063787717,1,80,0
19,49.063418447612776,0.3974819539623299,2,26,0
61,138.15982525787837,12.750489909028712,0,26,0
46,169.31454973236038,10.724200942717987,0,10,0
59,111.1361532000759,87.54036261886353,0,95,0
55,159.8253922447133,0.6786317545605711,0,27,0
42,92.39537835392215,0.5025850471062533,0,107,0
35,60.57843361910905,32.951051755063645,5,72,0
53,125.64676075330561,4.121904475031669,4,58,0
25,49.740931170147434,14.398906546411737,0,111,0
51,110.40915948425634,2.8841040760138377,0,19,0
23,171.47369050582012,5.986298194203742,1,56,0
55,43.60948377014877,12.460893251647217,0,31,0
53,68.82012816344408,27.65725527513243,0,22,0
22,78.71871019353691,40.71349742196085,2,113,0
61,117.4672056115616,24.367723784672435,1,73,0
41,105.37132857415163,0.7528714251317482,1,20,0
62,175.96545526784348,15.063700205930278,1,13,0
20,158.1739331636679,5.391357222123267,1,38,0
28,139.81091784274392,5.676426510383758,3,100,0
46,125.8252125737554,18.988521818736864,3,18,0
28,135.7291910793931,40.05773642372807,1,89,0
36,85.520705787465,7.377314596898213,0,13,0
55,154.2884141422645,45.72752841338514,2,41,0
26,75.51822982563195,40.55824094338572,5,63,0
56,153.41507975608923,77.6403206442845,0,16,0
23,167.44570008475324,58.979831901156636,0,48,0
27,128.43458408352348,21.476707358886145,1,32,0
51,112.95147764152097,6.58164217116444,2,6,0
63,136.01239633238694,34.18064029192438,1,1,0
27,10.0,91.38716603009752,2,18,0
35,132.09032873941845,61.202824359856734,1,90,0
70,115.46584008640772,11.509537301654145,1,5,0
74,117.97487547772036,108.66441177620611,0,61,0
51,148.2613005159131,7.908237380103376,1,3,0
43,117.00924313741089,23.077018973965757,1,26,0
37,74.39172573395368,19.17077676968567,1,22,0
52,114.34389316698488,58.58648590257565,2,41,0
51,122.70221936323298,17.820416016487115,1,89,0
34,124.59735646324052,39.678238065151994,3,51,0
19,126.47677469140272,14.54636210761998,2,2,0
26,161.57476179674214,6.324790957472057,0,18,0
72,76.5586178786341,48.12340180846095,3,37,1
41,127.028018246594,22.20398049511358,3,34,0
45,171.59718794472963,48.67844270201964,1,68,0
44,50.615540122512186,22.63477661915115,0,42,0
62,127.18586723120214,12.567587949541242,1,89,0
21,96.58485992107826,14.619942985566095,2,31,0
22,105.1715846210758,139.47142590692224,2,81,0
33,83.80769987142313,64.19626674373093,1,12,0
45,113.21797137198223,57.753604349028016,2,118,0
56,193.6502245770762,43.67884069168707,1,118,0
45,69.42278555291145,5.4557015899464485,1,33,0
43,73.21559990084691,30.971213162534504,3,28,0
71,67.92261719345981,20.976840898563214,2,1,0
27,189.09673146512404,28.198078116317184,1,117,0
50,101.50641177914852,15.851671048592689,0,5,0
48,118.97443758609303,60.241642256167296,1,1,0
44,103.8886823557504,41.36751737202759,1,12,0
64,82.22308486387634,30.358113862844228,1,36,0
33,110.59397413542258,14.237546438708652,0,117,0
72,218.3297442294624,18.79077945288274,2,20,0
36,175.68283683897022,28.727307006168118,3,68,0
49,85.88248728830911,0.08822713133162717,0,78,0
47,145.90296412246744,21.298740619686765,1,96,0
66,86.73908909334494,40.49781464828424,2,84,0
43,48.945294446151166,48.828221702269964,0,118,0
34,160.7804367065852,16.16476884583679,2,79,0
19,166.40371386574202,14.8242906871991,3,101,0
38,161.84209004191598,114.80847912603386,1,39,1
65,101.20539003121709,5.567548973018275,1,49,0
18,113.32897063992056,18.6534175833551,2,88,0
69,149.99062214632494,18.91347123634272,1,105,0
48,135.6598414939243,31.146271347708456,0,1,0
25,104.25450114811822,26.096642918291305,1,52,0
35,55.237127195273416,26.06669684878483,1,96,0
49,124.55500776568049,14.097204310307662,2,14,0
35,163.16038556944454,42.63895943006048,2,42,0
24,72.0964684386337,48.75847901764759,2,66,0
55,145.55037526703907,47.04731892803631,2,10,1
56,133.2616678053477,18.57643052599388,2,109,0
24,150.00593052929335,27.177993691992338,1,44,0
34,154.8790199887603,8.117889408144864,1,94,0
31,92.22139032298588,27.4948002147762,3,51,0
55,55.321623993402156,27.220006380853647,0,48,0
59,98.65921897268483,17.41031373691601,3,115,0
59,155.5650927010803,100.98594056430626,2,102,0
71,98.31984385896115,9.063221268938312,0,62,0
61,92.23826704569433,1.517547928021732,1,56,0
36,47.14598632301447,94.97453642003428,1,93,0
24,190.10590218203757,58.391860220803665,3,82,0
53,153.0285456570124,4.333031806880504,1,117,0
70,150.79583925099058,16.60076865444843,1,40,0
73,158.70901547117896,5.330997763821379,2,14,0
31,143.06833446173607,26.214264276333832,4,24,0
31,110.22684579281884,4.956654669578954,0,63,0
20,113.44943583511193,29.06642123743091,2,38,0
26,102.897425416315,11.080201038399295,2,97,0
49,225.3896301766,79.56254395374125,2,105,0
49,142.2364812519777,18.22765505376551,0,23,0
39,101.44798234594262,29.496050764716934,4,118,1
35,138.6198709666512,10.533265094085323,3,76,0
65,79.5652432857473,18.939378480389163,1,32,0
44,180.18026874356906,1.5274796044845866,3,24,0
64,93.5572361677144,9.890026028092075,3,20,0
72,140.04341730489864,25.18265116263852,2,57,0
36,162.63910518972537,8.646972754795625,2,9,0
29,135.39074176819972,5.1108375087209215,2,16,0
72,123.77879967278552,1.0210777778683005,1,90,0
54,120.4320833942406,14.755513304886744,1,59,0
34,117.74235612451571,60.87571616852868,0,63,0
53,96.93206044289991,37.17765643901829,1,39,0
47,102.02066280921183,102.6058119892912,2,67,0
69,179.1836149460374,36.91773450737608,3,41,0
32,115.65853469259373,13.649396362103756,1,6,1
74,88.56814922468908,57.75578662060366,0,68,1
71,99.34809612553966,42.266958738153114,1,10,0
28,164.01482722788893,19.133716726362827,3,82,0
27,147.02426532657913,151.2221127900838,1,109,0
48,142.4131671292903,91.61275028208462,2,80,0
20,109.69915204360834,3.7505474887596355,2,69,0
35,142.93449880691782,94.09042906924927,2,115,0
42,94.25755500197408,24.552879086500354,1,27,0
73,109.61543874616902,30.225168051015626,0,93,0
74,158.7921794956698,42.95874159656668,1,25,1
26,154.97110715676257,5.182457874624118,0,1,1
68,80.72360616196787,22.322726075271436,0,29,0
23,85.77894188365697,5.533725548560767,2,60,0
60,124.3480861125364,16.945913015080205,1,8,0
66,189.0452949867804,3.017469148939192,2,34,0
68,43.37739342124023,18.57133127783303,2,6,0
30,131.13331758282018,6.188309998313824,0,29,0
68,64.95826673707407,21.571028547298557,1,86,0
24,94.62676025897818,31.76944242112219,0,19,0
47,105.42286327743034,85.6117654956293,3,32,0
44,103.17966626252436,27.402367259085207,3,17,0
36,98.64816241363167,32.818518272447335,2,46,0
19,120.28828241505481,0.532639047480095,5,91,0
62,98.58977733477687,28.86474101140378,0,64,0
37,61.50170460583389,16.14422312770731,3,24,0
55,151.19478450091106,26.7248208000405,1,39,0
41,150.1148866859552,7.938073684355356,0,80,0
39,153.72697240090676,16.18647586778313,0,57,0
68,58.370620149436725,63.642217079597366,0,55,0
23,131.95672610336604,28.764742516901737,2,103,0
59,147.03915423227693,49.80018446787136,1,98,0
60,78.7519172624166,21.024563433360186,1,30,0
39,120.36692992728517,4.191964878686354,0,84,0
32,115.34933418758537,0.012871098938001748,1,95,0
18,193.68602634273054,20.581522938061532,0,108,0
71,196.97984148050293,24.95476114768374,0,32,0
72,53.425744266791966,11.381036752424516,1,87,0
31,219.7570802291196,23.776881395979505,1,23,0
19,83.39097115386704,45.96531461186712,0,53,0
24,159.22693177309702,16.96509848759649,2,9,1
21,158.81991923454922,37.45023934136492,1,72,0
65,80.17239092632772,93.41516296616794,1,82,0
68,139.73071175356395,52.89425078568328,2,54,0
26,115.69865022935744,14.750274994934765,0,49,0
60,142.17320018529563,7.809580716265331,3,29,0
28,129.22689209522503,24.16460440825541,0,92,0
38,167.85357941480987,59.80560797793367,1,109,0
52,123.0159817258425,33.292453842852346,1,16,0
59,113.28503722294755,80.94501195296975,1,33,0
67,163.8425693222872,85.70936197627856,4,72,0
20,143.21583859434412,19.9802699690475,1,44,0
29,149.2725357728355,45.915269551673546,3,2,0
33,93.41653310965613,20.231015308395783,4,3,0
35,78.18948874406104,0.059370902461814805,3,28,0
74,97.29111426989193,168.32696459900018,3,116,0
62,95.16714457277645,27.20734259506826,2,73,0
36,151.44797074611657,19.618923968898162,2,31,1
73,159.03936201176208,2.727699258599184,1,7,0
46,113.79478841870399,8.950379588623894,3,90,0
46,177.23676075297408,9.675752778954687,0,45,0
42,174.73877575060519,36.923665801519924,1,47,0
26,129.73595665602156,63.6577882439387,1,67,0
71,87.1243291382784,2.267778257037073,1,28,0
18,183.0150659774216,30.41767293375201,2,87,0
27,117.55930595886367,2.8689885255491934,1,38,0
31,125.04660785723898,12.257674183928152,3,84,0
33,106.41579897573726,156.17923966239752,2,62,0
25,84.4083869481121,29.953469788089702,1,18,0
19,61.25442278738832,21.065969305197136,3,75,0
56,145.31473294229153,65.82901352120356,0,9,0
73,88.66395784413518,36.54084283435444,3,86,0
24,242.38124915987294,8.763886503777263,0,45,0
34,76.55705669550085,24.866581311464795,3,80,0
46,69.7047010007452,25.677413991600712,1,29,0
70,140.40554862453763,25.98316925543541,1,49,0
57,181.17253915869182,12.247397130590137,1,37,0
61,122.58358627772887,32.45057487834869,1,30,0
51,142.88969680749096,16.99317791728026,1,41,0
41,46.258103301651616,75.10358072861182,2,7,0
29,92.89953817232933,9.447714817842769,0,48,0
67,77.05537083449732,33.48233781392826,1,15,1
63,44.19816600208476,31.93136098609112,1,62,1
19,124.67920936095548,13.98866159704879,3,11,0
58,30.286895135582654,6.243279578136121,3,2,0
22,67.11216135650204,2.718025253990148,3,53,0
60,98.51224823946328,30.57315032417643,1,36,0
65,86.74856656195695,16.33363618963427,2,105,0
25,135.8563400882827,18.984655135854318,1,32,0
42,132.2232076760992,15.032545844701875,1,48,0
25,155.75194983741827,4.147674648902155,3,29,0
50,150.09534930850714,18.28388909259184,2,106,0
70,165.63251157445524,0.4555639363223242,1,94,0
22,119.92326399963784,13.776428229003287,3,21,0
40,132.13867603266678,21.841216927617,0,30,0
73,140.46054807676765,71.04340699337213,1,23,0
35,125.66626789564103,4.128642909487887,1,18,0
25,104.11222760331705,27.052368539378342,2,29,0
45,106.70229862640919,13.073824378133871,1,102,0
46,87.29766406680139,48.91609729377616,2,55,0
55,136.8646731963932,8.036086675071985,2,46,0
35,116.23939303659378,15.773707293891903,2,23,0
72,93.4730499745294,37.45962525992489,0,22,0
47,93.5102072270163,12.332420560663426,0,67,0
34,71.58405088868847,47.48465671802543,2,90,0
72,159.15365364948798,2.001486616839107,2,67,0
70,123.14470678127151,8.461707704150207,3,79,0
46,85.48799921706919,0.7258897236930288,0,32,0
19,152.34190998408073,39.19608992181607,1,113,0
52,97.58204760822508,15.503487887599615,2,98,0
49,63.73997491951069,26.129961511030967,1,105,0
26,160.8488915687653,2.680119740738285,4,80,0
54,98.51612041735548,25.333563177006152,0,83,0
65,103.64403639164843,9.48586859363601,4,9,0
24,121.6472008139671,31.63207272549667,2,20,0
59,165.70356891160458,10.43007535142976,1,16,0
25,120.80149163465246,14.379452071188501,2,58,0
60,72.0353149541908,15.45483191710942,1,70,0
41,141.7550801644872,167.57844104445104,2,15,0
18,100.60041102953105,59.22891769056988,1,90,0
73,195.51695886117864,0.5569865244148239,1,66,0
27,119.9552111200844,12.260550761045359,1,71,0
51,30.598580084053353,65.12792005470342,2,110,0
28,134.29459888622696,25.793816967192704,1,70,0
71,197.78391169040913,38.43125491810529,3,1,0
60,183.03681154181558,7.383262863473014,3,92,0
63,193.23817155026262,2.7817687916214675,2,105,0
42,79.20959258474146,8.778451004141843,3,10,0
44,156.48609583907114,95.25326822219569,3,65,0
54,91.12021841053154,24.599750096008513,3,56,1
62,128.97157597667697,16.209076790032924,1,18,0
66,69.0819028504107,29.856356967971905,0,33,1
19,94.22176940469134,33.9506825779267,2,102,0
55,92.9501321054554,34.13429797285405,6,47,0
24,155.94221120570467,12.337873497305127,1,64,0
34,152.02876486678622,147.9480269967648,2,93,1
65,131.07278917323282,7.528669961686217,1,54,0
32,65.98314327778458,62.50602013725515,4,107,0
63,107.53442264201121,16.54177053012431,1,60,0
44,90.15534068229096,25.995122377525195,2,118,0
31,154.78703026777964,29.50576851230552,0,18,0
37,167.1273941126874,5.306072620601205,1,106,0
48,162.25542344123534,9.82442166291418,1,14,0
61,89.79122322331918,32.07329637001533,4,97,0
52,10.418675108420828,50.911168863063075,3,79,0
71,49.32152407479782,26.400202228841934,0,67,0
67,176.86507912328835,72.84094892237147,2,105,0
60,103.94980242720705,17.88046795291444,1,77,0
52,89.97101526939551,13.970637291602003,1,83,0
34,185.70641173744934,52.56939944668765,1,90,0
41,170.60639781953307,1.2734946215214058,1,101,0
24,120.97794887679147,50.58548364531964,1,28,0
39,108.26387635744105,8.80239156346737,3,101,0
70,114.715951487475,29.00070209173227,0,71,0
42,129.08651193549863,0.4966906757199022,6,4,0
24,184.00189125278433,11.806059926485213,4,110,0
55,136.89869696948907,85.91973758408628,1,92,0
72,149.04116132156565,35.910317830911595,2,107,0
67,166.77080436280687,10.023854281552829,2,92,0
33,73.21295995902324,5.948751594913981,1,42,0
43,150.19447569896172,15.343896172315759,3,42,0
48,108.21724981353555,7.134237802333591,1,33,0
32,19.356192169089354,64.66665843409497,2,49,0
33,34.87321832056752,31.11504231593775,3,5,0
31,79.27529553925257,30.531984146957424,5,89,0
74,141.24892914370326,68.67589130895675,3,90,0
60,124.55198261361186,29.879120820266174,3,118,0
65,127.37466828702657,151.34612929379435,1,66,1
64,198.0377393074677,13.311102929411906,1,118,0
72,69.23641540560752,28.37977867237004,0,25,0
24,118.90266583265105,8.111787355193913,0,57,0
68,132.17742091255263,23.505585161894516,0,94,0
21,90.54907533846658,16.942340361684604,0,94,0
45,121.13306980331764,5.912619849051739,2,93,0
51,56.002026636626205,9.426366263618263,4,56,0
38,176.39624869100112,13.29004937198598,3,9,0
26,92.73541789878266,21.350433243443145,1,104,0
28,201.25600659114014,36.26740945486062,1,46,0
65,118.70102704330179,12.53399241742904,2,78,0
36,161.12214261596733,7.70559809588473,0,16,0
35,117.86788524035383,59.36246424398179,1,112,0
70,118.77024670957881,83.3849733926147,2,31,0
26,96.63882667111969,18.20701865475009,0,119,0
70,124.7649571746511,18.15007021816119,1,86,0
70,132.7199477765619,1.85944146447474,3,40,0
52,88.62965964339281,9.551946338493574,0,44,0
27,114.99822336560463,8.57355305571409,2,117,0
26,95.59604535771545,25.135478742820972,2,71,0
34,211.98656278459356,4.1054632239947,1,83,0
50,116.41076920353525,12.047692064981309,3,73,0
26,181.8092860678624,38.61446455050005,0,29,0
43,112.17510676769247,33.73927697226556,3,16,0
24,130.37150566139633,10.691172105342348,1,1,0
48,67.14543713418922,4.279755045271135,1,49,0
19,102.11709632528542,11.62904989443168,1,82,0
58,128.42138683156986,21.344050625511695,1,36,0
21,183.44015323839466,23.17601314702708,1,27,0
29,128.87931110705085,2.8982983361736783,1,47,0
27,175.34881444771997,13.928154697115533,2,28,0
65,145.62916440811682,55.885501127374305,2,52,0
21,185.09605357858743,86.92221201519031,5,66,1
42,117.63831130779778,89.073095204552,2,33,0
51,215.60890842607216,2.5819124188537264,2,4,0
47,100.58415188343508,78.97946236309478,4,13,0
56,89.34152663209323,47.716256211663776,3,50,0
63,71.59788601243864,31.25702930911602,2,22,0
40,213.2409868623228,19.8060595038884,3,96,0
65,152.77790290471592,8.271343947132138,3,20,0
36,106.63517066478767,26.774781162364096,2,4,0
74,169.9609078749398,3.763814966805708,1,74,0
46,147.50768740471128,1.8930913504458942,4,75,0
59,198.6450988550236,75.47178439027091,2,80,1
67,58.086686690403546,8.382129228578775,2,19,0
63,109.38559566742981,69.80402895467621,1,81,0
66,101.49914464228698,5.3620687724770635,3,103,0
48,41.05269294365594,9.005635319763508,1,72,0
20,162.41308819118777,6.2275743456623625,1,47,0
46,109.18413776786566,16.290975630706406,2,58,0
28,149.58524819946248,58.33909687089912,5,97,0
68,214.39087737318448,70.60572265022378,2,18,0
31,105.87025232689567,20.06113656115593,5,87,0
30,103.1538806937138,33.25005285130138,2,33,0
32,124.74656678895984,3.055395682329941,0,105,0
54,159.48989411933638,2.7885236088893137,2,17,0
50,97.33147898759401,49.823175305904336,1,62,0
72,94.76153611471477,15.619713678568765,2,48,0
41,162.28757080965465,42.52816617336019,1,58,0
34,135.14557295352142,16.2057181994758,1,46,0
20,38.21086947980717,23.170719263098743,4,5,0
18,70.98432802123568,29.16104329638155,2,103,0
39,180.04943455308842,18.359607637327603,1,64,0
70,136.0771313231525,15.106690968301898,1,72,0
47,89.51216275851004,15.000942615336179,0,63,0
68,113.18361371060071,4.405010611605643,3,63,0
